project_name,github_url,target_remote_path,allow_delete
invoice_payments,https://github.com/run-llama/llamacloud-demo,invoice_payments,DELETE
invoice_unit_standardization,https://github.com/run-llama/llamacloud-demo,invoice_standardization,DELETE
music_compositor_agent,https://github.com/NirDiamant/GenAI_Agents,FILE,DELETE
news_summarization_agent,https://github.com/NirDiamant/GenAI_Agents,FILE,DELETE
nyc_taxi_pickup_(ui),https://github.com/streamlit/demo-uber-nyc-pickups,ROOT,DELETE
patient_case_summary,https://github.com/run-llama/llamacloud-demo,patient_case_summary,DELETE
project_management,https://github.com/NirDiamant/RAG_Techniques,FILE,DELETE
stock_analysis,https://github.com/kimtth/autogen-quant-invest-agent,SKIP,
travel_planning_agent,https://github.com/NirDiamant/GenAI_Agents,FILE,DELETE
youtube_summarize,https://github.com/pytube/pytube,SKIP,
finetuning_grpo,https://github.com/patchy631/ai-engineering-hub,Build-reasoning-model,DELETE
knowledge_distillation,https://github.com/patchy631/ai-engineering-hub,FILE,DELETE
nanoGPT,https://github.com/karpathy/nanoGPT,ROOT,DELETE
nanoMoE,https://github.com/wolfecameron/nanoMoE,ROOT,DELETE
azure_prompt_flow,https://github.com/microsoft/genaiops-promptflow-template,SKIP,
mlflow,https://github.com/djliden/llmops-examples,ROOT,DELETE
image_gen,https://github.com/Chainlit/cookbook,image-gen,DELETE
image_gen_dalle,https://github.com/openai/openai-cookbook,dalle,DELETE
openai-agents-sdk-voice-pipeline,https://openai.github.io/openai-agents-python/voice/quickstart/,SKIP,
openai-chat-vision,https://github.com/Azure-Samples/openai-chat-vision-quickstart,FILE,DELETE
phi-series-cookbook_(slm),https://github.com/microsoft/PhiCookBook,SKIP,
video_understanding,https://github.com/platisd/phonix,SKIP,
vision_rag,https://github.com/Azure/azure-search-vector-samples,SKIP,
visualize_embedding,https://github.com/openai/openai-cookbook,FILE,DELETE
voice_audio,https://github.com/Azure-Samples/aisearch-openai-rag-audio,SKIP,
multilingual_translation_(co-op-translator),https://github.com/Azure/co-op-translator,tests,DELETE
search_the_internet_and_summarize,https://github.com/NirDiamant/GenAI_Agents,FILE,DELETE
sentiment_analysis_for_customer_feedback,https://github.com/NirDiamant/GenAI_Agents,FILE,DELETE
translate_manga_into_english,https://github.com/ogkalu2/comic-translate,SKIP,
txt2sql,https://github.com/huggingface/smolagents,FILE,DELETE
adaptive-rag,https://github.com/NirDiamant/RAG_Techniques,FILE,DELETE
agentic_rag,https://github.com/langchain-ai/langgraph/blob/main/examples/rag,FILE,DELETE
contextual_retrieval_(rag),https://github.com/langchain-ai/langchain/tree/master/cookbook,FILE,DELETE
corrective_rag,https://github.com/langchain-ai/langgraph/blob/main/examples/rag,FILE,DELETE
fusion_retrieval_reranking_(rag),https://github.com/NirDiamant/RAG_Techniques,SKIP,
graphrag,https://github.com/NirDiamant/RAG_Techniques,SKIP,
hyde_(rag),https://github.com/NirDiamant/RAG_Techniques,FILE,DELETE
query_rewriting_(rag),https://github.com/langchain-ai/langchain,FILE,DELETE
raptor_(rag),https://github.com/langchain-ai/langchain/tree/master/cookbook,SKIP,
self_rag,https://github.com/langchain-ai/langgraph/blob/main/examples/rag,FILE,DELETE
analysis_of_twitter_the-algorithm_source_code,https://github.com/langchain-ai/langchain/tree/master/cookbook,FILE,DELETE
deep_research_langchain,https://github.com/langchain-ai/open_deep_research,ROOT,DELETE
deep_research_smolagents,https://github.com/huggingface/smolagents,open_deep_research,DELETE
openai_code_interpreter,https://github.com/openai/openai-cookbook,SKIP,
r&d-agent,https://github.com/SamuelSchmidgall/AgentLaboratory,SKIP,
anthropic,https://github.com/anthropics/anthropic-cookbook,ROOT,DELETE
gemini,https://github.com/google-gemini/cookbook,ROOT,DELETE
openai,https://github.com/openai/openai-cookbook,ROOT,DELETE
